Au+Au 7.7 GeV
------------------------
pTlow [GeV/c] pThigh[GeV/c]   d^2N/(2pi*pt*dpt*dy)[(GeV/c)^-2]   error(stat.)    error(sys.)
pi-  0-5%
0.25 	 0.30 	 114.898 	 0.21538 	 7.89015 
0.30 	 0.35 	 83.9507 	 0.17051 	 5.61535 
0.35 	 0.40 	 62.4481 	 0.13799 	 4.10800 
0.40 	 0.45 	 46.3708 	 0.11247 	 3.01883 
0.45 	 0.50 	 34.7823 	 0.09267 	 2.24990 
0.50 	 0.55 	 26.3221 	 0.07704 	 1.69598 
0.55 	 0.60 	 19.7093 	 0.06396 	 1.26704 
0.60 	 0.65 	 15.0548 	 0.05379 	 0.96702 
0.65 	 0.70 	 11.2735 	 0.04492 	 0.73605 
0.70 	 0.80 	 8.0326 	 0.03214 	 0.51490 
0.80 	 0.90 	 4.8609 	 0.02371 	 0.31167 
0.90 	 1.00 	 2.9687 	 0.01761 	 0.19063 
1.00 	 1.10 	 1.8153 	 0.01307 	 0.11705 
1.10 	 1.20 	 1.1242 	 0.00978 	 0.07324 
1.20 	 1.30 	 0.6839 	 0.00729 	 0.04569 
1.30 	 1.40 	 0.4270 	 0.00555 	 0.03024 
1.40 	 1.50 	 0.2707 	 0.00427 	 0.02168 
1.50 	 1.60 	 0.1693 	 0.00326 	 0.01688 
1.60 	 1.70 	 0.0995 	 0.00241 	 0.00992 
1.70 	 1.80 	 0.0560 	 0.00174 	 0.00560 
1.80 	 1.90 	 0.0368 	 0.00139 	 0.00369 
1.90 	 2.00 	 0.0238 	 0.00112 	 0.00240 
------------------------
pi-  5-10%
0.25 	 0.30 	 97.6701 	 0.20042 	 6.70708 
0.30 	 0.35 	 69.6203 	 0.15502 	 4.65681 
0.35 	 0.40 	 51.1057 	 0.12389 	 3.36188 
0.40 	 0.45 	 37.7056 	 0.10032 	 2.45470 
0.45 	 0.50 	 28.1747 	 0.08234 	 1.82249 
0.50 	 0.55 	 21.0545 	 0.06795 	 1.35662 
0.55 	 0.60 	 15.9502 	 0.05670 	 1.02536 
0.60 	 0.65 	 12.0402 	 0.04739 	 0.77470 
0.65 	 0.70 	 8.9218 	 0.03935 	 0.57439 
0.70 	 0.80 	 6.4730 	 0.02837 	 0.41493 
0.80 	 0.90 	 3.8869 	 0.02083 	 0.24922 
0.90 	 1.00 	 2.3769 	 0.01547 	 0.15263 
1.00 	 1.10 	 1.4215 	 0.01136 	 0.09165 
1.10 	 1.20 	 0.8723 	 0.00848 	 0.05683 
1.20 	 1.30 	 0.5496 	 0.00645 	 0.03672 
1.30 	 1.40 	 0.3337 	 0.00485 	 0.02363 
1.40 	 1.50 	 0.2162 	 0.00378 	 0.01731 
1.50 	 1.60 	 0.1319 	 0.00285 	 0.01315 
1.60 	 1.70 	 0.0803 	 0.00213 	 0.00801 
1.70 	 1.80 	 0.0437 	 0.00150 	 0.00437 
1.80 	 1.90 	 0.0251 	 0.00111 	 0.00253 
1.90 	 2.00 	 0.0149 	 0.00085 	 0.00153 
------------------------
pi-  10-20%
0.25 	 0.30 	 71.8821 	 0.11474 	 4.93618 
0.30 	 0.35 	 52.8379 	 0.09139 	 3.53425 
0.35 	 0.40 	 38.9600 	 0.07371 	 2.56289 
0.40 	 0.45 	 28.9215 	 0.06009 	 1.88284 
0.45 	 0.50 	 21.6614 	 0.04948 	 1.40118 
0.50 	 0.55 	 16.3629 	 0.04110 	 1.05429 
0.55 	 0.60 	 12.3251 	 0.03422 	 0.79229 
0.60 	 0.65 	 9.3340 	 0.02866 	 0.59927 
0.65 	 0.70 	 7.0009 	 0.02396 	 0.45306 
0.70 	 0.80 	 4.9642 	 0.01696 	 0.31821 
0.80 	 0.90 	 2.9764 	 0.01246 	 0.19084 
0.90 	 1.00 	 1.8110 	 0.00925 	 0.11629 
1.00 	 1.10 	 1.0994 	 0.00685 	 0.07089 
1.10 	 1.20 	 0.6709 	 0.00509 	 0.04371 
1.20 	 1.30 	 0.4137 	 0.00382 	 0.02763 
1.30 	 1.40 	 0.2598 	 0.00292 	 0.01840 
1.40 	 1.50 	 0.1646 	 0.00225 	 0.01318 
1.50 	 1.60 	 0.0989 	 0.00169 	 0.00986 
1.60 	 1.70 	 0.0619 	 0.00129 	 0.00618 
1.70 	 1.80 	 0.0374 	 0.00097 	 0.00374 
1.80 	 1.90 	 0.0226 	 0.00074 	 0.00227 
1.90 	 2.00 	 0.0144 	 0.00059 	 0.00145 
------------------------
pi-  20-30%
0.25 	 0.30 	 49.9923 	 0.09502 	 3.43300 
0.30 	 0.35 	 36.5845 	 0.07540 	 2.44709 
0.35 	 0.40 	 26.9058 	 0.06070 	 1.76994 
0.40 	 0.45 	 19.9091 	 0.04939 	 1.29612 
0.45 	 0.50 	 14.8345 	 0.04057 	 0.95957 
0.50 	 0.55 	 11.1741 	 0.03365 	 0.71997 
0.55 	 0.60 	 8.3885 	 0.02797 	 0.53925 
